id,bumelerze_id,time,year,lat,lon,depth_km,mag,mag_type,source_catalog,source_id,contributing_sources,merged_count
bumelerze-000047,bml18630001,1863-12-30T00:00:00.000Z,1863,38.2,48.6,0.0,6.1,Mw,EMME,610,EMME,1
bumelerze-000048,bml18640001,1864-12-07T00:00:00.000Z,1864,33.2,45.9,0.0,6.4,Mw,EMME,614,EMME,1
bumelerze-000049,bml18660001,1866-05-12T00:00:00.000Z,1866,39.2,41.0,0.0,7.15,Mw,EMME,629,EMME,1
bumelerze-000050,bml18690001,1869-10-06T00:00:00.000Z,1869,38.4,42.1,0.0,5.42,Mw,EMME,648,EMME,1
bumelerze-000051,bml18710001,1871-03-17T00:00:00.000Z,1871,38.0,43.0,0.0,6.9,Mw,EMME,659,EMME,1
bumelerze-000052,bml18740001,1874-05-03T00:00:00.000Z,1874,38.65,39.2,0.0,6.21,Mw,EMME,685,EMME,1
bumelerze-000053,bml18750001,1875-03-21T00:00:00.000Z,1875,30.5,50.5,0.0,5.7,Mw,EMME,693,EMME,1
bumelerze-000054,bml18750002,1875-03-27T00:00:00.000Z,1875,38.5,39.5,0.0,6.21,Mw,EMME,694,EMME,1
bumelerze-000055,bml18760001,1876-09-28T00:00:00.000Z,1876,33.1,49.7,0.0,5.8,Mw,EMME,711,EMME,1
bumelerze-000056,bml18760002,1876-10-20T00:00:00.000Z,1876,35.8,49.8,0.0,5.7,Mw,EMME,712,EMME,1
bumelerze-000057,bml18790001,1879-03-22T00:00:00.000Z,1879,37.8,47.9,0.0,6.7,Mw,EMME,725,EMME,1
bumelerze-000058,bml18790002,1879-03-22T01:00:00.000Z,1879,38.15,48.17,0.0,6.2,Mw,EMME,726,EMME,1
bumelerze-000059,bml18800001,1880-07-04T00:00:00.000Z,1880,36.5,47.5,0.0,5.6,Mw,EMME,729,EMME,1
bumelerze-000060,bml18810001,1881-05-30T00:00:00.000Z,1881,38.5,43.3,0.0,6.9,Mw,EMME,736,EMME,1
bumelerze-000061,bml18830001,1883-05-03T00:00:00.000Z,1883,37.9,47.2,0.0,6.2,Mw,EMME,746,EMME,1
bumelerze-000062,bml18840001,1884-02-10T00:00:00.000Z,1884,37.8,42.6,0.0,6.21,Mw,EMME,753,EMME,1
bumelerze-000063,bml18900001,1890-11-07T00:00:00.000Z,1890,38.35,38.3,0.0,5.42,Mw,EMME,793,EMME,1
bumelerze-000064,bml18910001,1891-04-03T00:00:00.000Z,1891,39.1,42.5,0.0,6.2,Mw,EMME,799,EMME,1
bumelerze-000065,bml18930001,1893-03-02T00:00:00.000Z,1893,38.4,38.7,0.0,6.77,Mw,EMME,812,EMME,1
bumelerze-000066,bml18960001,1896-01-04T00:00:00.000Z,1896,37.8,48.4,0.0,6.7,Mw,EMME,831,EMME,1
bumelerze-000067,bml19000001,1900-02-24T00:30:00.000Z,1900,38.45,44.87,0.0,5.4,Mw,EMME,858,EMME,1
bumelerze-000068,bml19010001,1901-05-20T12:29:00.000Z,1901,36.39,50.48,0.0,5.4,Mw,EMME,874,EMME,1
bumelerze-000069,bml19020001,1902-09-05T04:33:00.000Z,1902,39.5,48.0,20.0,5.4,Mw,EMME,895,EMME,1
bumelerze-000070,bml19030001,1903-02-09T05:18:00.000Z,1903,36.58,47.65,0.0,5.82,Mw,EMME,904,EMME,1
bumelerze-000071,bml19030002,1903-04-28T00:39:00.000Z,1903,39.1,42.6,0.0,7.0,Mw,ONUR2017,,ONUR2017,1
bumelerze-000072,bml19030003,1903-04-28T23:46:00.000Z,1903,39.1,42.5,0.0,6.2,Mw,EMME,910,EMME,1
bumelerze-000073,bml19030004,1903-05-03T00:00:00.000Z,1903,38.7,41.5,0.0,5.2,Mw,EMME,911,EMME,1
bumelerze-000074,bml19030005,1903-06-24T16:56:00.000Z,1903,39.0,49.0,0.0,5.9,Mw,EMME,914,EMME,1
bumelerze-000075,bml19030006,1903-08-06T03:00:00.000Z,1903,39.5,42.42,0.0,5.96,Mw,EMME,918,EMME,1
bumelerze-000076,bml19040001,1904-07-16T12:01:00.000Z,1904,39.4,47.8,15.0,4.9,Mw,EMME,930,EMME,1
bumelerze-000077,bml19050001,1905-01-09T06:17:00.000Z,1905,38.0,46.0,0.0,6.2,Mw,EMME,941,EMME,1
bumelerze-000078,bml19050002,1905-12-04T00:20:25.000Z,1905,38.3,38.6,60.0,6.8,Mw,ONUR2017,,ONUR2017,1
bumelerze-000079,bml19050003,1905-12-04T07:04:00.000Z,1905,38.1,38.6,0.0,6.77,Mw,EMME,954,EMME,1
bumelerze-000080,bml19050004,1905-12-04T09:40:00.000Z,1905,39.0,39.0,0.0,5.8,Mw,EMME,955,EMME,1
bumelerze-000081,bml19050005,1905-12-04T12:20:00.000Z,1905,39.0,39.0,0.0,5.7,Mw,EMME,956,EMME,1
bumelerze-000082,bml19050006,1905-12-04T12:20:07.960Z,1905,37.216,38.83,15.0,5.56,Mw,ISCGEM,16957879,ISCGEM,1
bumelerze-000083,bml19070001,1907-01-29T00:00:00.000Z,1907,39.1,42.5,0.0,5.2,Mw,EMME,971,EMME,1
bumelerze-000084,bml19070002,1907-03-31T14:14:00.000Z,1907,39.1,42.5,0.0,5.4,Mw,EMME,973,EMME,1
bumelerze-000085,bml19070003,1907-04-06T00:00:00.000Z,1907,39.3,40.4,0.0,5.2,Mw,EMME,974,EMME,1
bumelerze-000086,bml19070004,1907-04-12T02:01:10.000Z,1907,39.2,45.4,20.0,4.9,Mw,EMME,975,EMME,1
bumelerze-000087,bml19070005,1907-06-03T06:46:00.000Z,1907,38.7,41.5,0.0,5.3,Mw,EMME,977,EMME,1
bumelerze-000088,bml19070006,1907-12-23T14:25:00.000Z,1907,38.7,46.0,21.0,4.9,Mw,EMME,983,EMME,1
bumelerze-000089,bml19080001,1908-09-28T06:28:00.000Z,1908,38.0,44.0,0.0,6.09,Mw,EMME,995,EMME,1
bumelerze-000090,bml19090001,1909-01-23T00:48:00.000Z,1909,33.41,49.13,0.0,7.4,Mw,ONUR2017,,ONUR2017,1
bumelerze-000091,bml19090002,1909-01-23T02:48:00.000Z,1909,33.0,49.0,0.0,7.4,Mw,EMME,1003,EMME,1
bumelerze-000092,bml19090003,1909-03-05T12:16:00.000Z,1909,39.0,40.0,0.0,5.5,Mw,EMME,1013,EMME,1
bumelerze-000093,bml19090004,1909-04-11T04:02:00.000Z,1909,36.0,45.0,0.0,5.7,Mw,EMME,1016,EMME,1
bumelerze-000094,bml19090005,1909-12-30T15:15:00.000Z,1909,38.9,46.3,15.0,4.7,Mw,EMME,1026,EMME,1
bumelerze-000095,bml19100001,1910-12-04T14:02:00.000Z,1910,39.3,48.0,37.0,5.5,Mw,EMME,1034,EMME,1
bumelerze-000096,bml19130001,1913-01-27T19:38:35.600Z,1913,38.38,42.23,10.0,5.5,Mw,EMME,1075,EMME,1
bumelerze-000097,bml19130002,1913-04-16T06:00:00.000Z,1913,39.1,48.6,12.0,5.5,Mw,EMME,1079,EMME,1
bumelerze-000098,bml19130003,1913-09-24T16:05:00.000Z,1913,38.5,48.9,18.0,4.9,Mw,EMME,1088,EMME,1
bumelerze-000099,bml19130004,1913-11-12T04:28:56.000Z,1913,38.8,45.8,25.0,5.2,Mw,EMME,1089,EMME,1
bumelerze-000100,bml19140001,1914-03-07T19:00:00.000Z,1914,38.5,42.2,0.0,6.16,Mw,EMME,1094,EMME,1
bumelerze-000101,bml19140002,1914-11-01T21:53:26.000Z,1914,38.4,45.4,15.0,4.9,Mw,EMME,1119,EMME,1
bumelerze-000102,bml19150001,1915-02-14T08:20:06.000Z,1915,38.8,42.5,0.0,5.7,Mw,EMME,1126,EMME,1
bumelerze-000103,bml19150002,1915-02-28T12:47:24.000Z,1915,37.7,43.1,0.0,5.5,Mw,EMME,1127,EMME,1
bumelerze-000104,bml19150003,1915-05-19T04:48:24.000Z,1915,37.62,39.47,10.0,5.5,Mw,EMME,1131,EMME,1
bumelerze-000105,bml19160001,1916-09-11T03:06:00.000Z,1916,39.5,45.5,30.0,5.1,Mw,EMME,1143,EMME,1
bumelerze-000106,bml19160002,1916-10-11T03:05:00.000Z,1916,39.5,45.5,30.0,5.1,Mw,EMME,1146,EMME,1
bumelerze-000107,bml19170001,1917-06-02T00:28:05.000Z,1917,38.0,48.5,30.0,5.3,Mw,EMME,1160,EMME,1
bumelerze-000108,bml19170002,1917-07-15T17:58:00.000Z,1917,33.5,46.5,0.0,5.6,Mw,EMME,1162,EMME,1
bumelerze-000109,bml19180001,1918-04-25T02:22:35.000Z,1918,34.5,41.8,0.0,5.8,Mw,EMME,1178,EMME,1
bumelerze-000110,bml19190001,1919-05-12T22:30:00.000Z,1919,36.19,44.01,0.0,5.9,Mw,EMME,1190,EMME,1
bumelerze-000111,bml19190002,1919-08-31T02:32:48.000Z,1919,34.5,41.8,0.0,5.5,Mw,EMME,1197,EMME,1
bumelerze-000112,bml19200001,1920-10-14T00:00:00.000Z,1920,36.2,44.0,0.0,5.23,Mw,EMME,1215,EMME,1
bumelerze-000113,bml19240001,1924-02-19T06:59:56.190Z,1924,39.205,48.741,35.0,6.01,Mw,ISCGEM,910840,"EMME,ISCGEM",2
bumelerze-000114,bml19240002,1924-02-29T07:01:00.000Z,1924,38.59,48.5,0.0,6.02,Mw,EMME,1274,EMME,1
bumelerze-000115,bml19240003,1924-07-25T21:39:24.000Z,1924,38.0,43.0,0.0,5.2,Mw,EMME,1284,EMME,1
bumelerze-000116,bml19240004,1924-11-08T09:05:07.140Z,1924,35.647,47.477,15.0,5.8,Mw,ISCGEM,911188,ISCGEM,1
bumelerze-000117,bml19240005,1924-11-08T17:45:20.000Z,1924,35.5,48.0,0.0,5.43,Mw,EMME,1297,EMME,1
bumelerze-000118,bml19240006,1924-11-10T21:08:56.000Z,1924,35.5,48.0,0.0,5.0,Mw,EMME,1298,EMME,1
bumelerze-000119,bml19240007,1924-11-10T21:54:56.000Z,1924,35.5,48.0,0.0,5.0,Mw,EMME,1299,EMME,1
bumelerze-000120,bml19240008,1924-11-11T15:53:40.000Z,1924,35.5,48.0,0.0,5.0,Mw,EMME,1300,EMME,1
bumelerze-000121,bml19240009,1924-11-12T09:28:20.000Z,1924,35.5,48.0,0.0,4.0,Mw,EMME,1301,EMME,1
bumelerze-000122,bml19260001,1926-04-02T11:56:00.000Z,1926,35.0,44.0,0.0,4.8,Mw,EMME,1362,EMME,1
bumelerze-000123,bml19270001,1927-06-15T06:46:10.000Z,1927,35.5,48.4,0.0,4.76,Mw,EMME,1387,EMME,1
bumelerze-000124,bml19270002,1927-10-31T06:23:00.000Z,1927,36.5,49.0,0.0,4.76,Mw,EMME,1397,EMME,1
bumelerze-000125,bml19270003,1927-11-12T14:45:54.040Z,1927,32.755,46.947,15.0,5.88,Mw,ISCGEM,909620,"EMME,ISCGEM,ONUR2017",3
bumelerze-000126,bml19280001,1928-03-24T10:53:16.000Z,1928,37.8,47.3,0.0,5.2,Mw,EMME,1407,EMME,1
bumelerze-000127,bml19280002,1928-03-28T10:53:29.000Z,1928,38.14,48.17,18.0,5.2,Mw,EMME,1408,EMME,1
bumelerze-000128,bml19290001,1929-07-15T07:44:12.700Z,1929,32.214,49.701,15.0,6.16,Mw,ISCGEM,908214,"EMME,ISCGEM,ONUR2017",3
bumelerze-000129,bml19290002,1929-08-07T20:22:25.000Z,1929,35.0,44.0,0.0,4.9,Mw,EMME,1495,EMME,1
bumelerze-000130,bml19290003,1929-08-28T19:43:00.000Z,1929,38.7,49.0,10.0,4.9,Mw,EMME,1496,EMME,1
bumelerze-000131,bml19290004,1929-10-15T04:45:22.000Z,1929,38.0,42.0,0.0,5.2,Mw,EMME,1505,EMME,1
bumelerze-000132,bml19290005,1929-10-27T16:42:58.000Z,1929,32.35,48.35,33.0,5.43,Mw,EMME,1506,EMME,1
bumelerze-000133,bml19300001,1930-02-08T05:20:17.800Z,1930,38.52,39.4,100.0,5.3,Mw,EMME,1512,EMME,1
bumelerze-000134,bml19300002,1930-04-03T12:08:26.840Z,1930,31.941,43.366,15.0,5.46,Mw,ISCGEM,907306,"EMME,ISCGEM",2
